Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,OEM Part Number,Duplicate Part Number
"GASKET, BIG DISC VALVE, DIA 100 CYL.",,,,,,,,,,,,,0,,,00051921 0,
DISC VALVE ASSY DIA 100,,,,,,,,,,,,,0,,,A020569,
"GASKET, SMALL, DISC VALVE DIA 100 CYL",,,,,,,,,,,,,0,,,000051922 0,
"CYINDER HEAD, DIA 100",,,,,,,,,,,,,0,,,00021239 A,
BONDED SEAL,,,,,,,,,,,,,0,,,00095943 9,
BONDED SEAL 7/8'',,,,,,,,,,,,,0,,,00095943 7,
PISTON DIA 70,,,,,,,,,,,,,0,,,00047775 0,
"CIRCLIP, INTERNAL B 18",,,,,,,,,,,,,0,,,,
"GUDGEON PIN, DIA 18",,,,,,,,,,,,,0,,,,
"RING, STEPPED OIL CONTROL, ",,,,,,,,,,,,,0,,,02240104 9,
"RING, STEPPED COMPRESSION, ",,,,,,,,,,,,,0,,,,
"RING,  PIAIN COMPRESSION, ",,,,,,,,,,,,,0,,,,
COOLING FAN & PULLEY ASSY,,,,,,,,,,,,,0,,,A020058,
PIPE ASSY CONNECTING NO.3,,,,,,,,,,,,,0,,,02049691 0,
PIPE ASSY CONNECTING NO.2,,,,,,,,,,,,,0,,,2049689 0,
AFTER COOLER PIPE ASSY NO. 1,,,,,,,,,,,,,0,,,0224344 9,
PRESSURE SWITCH ASSY 1/2'' BSP,,,,,,,,,,,,,0,,,B001800510002,
CONNECTING PIECE PSW,,,,,,,,,,,,,0,,,02049699 0,
"KIT,TUNE UP, TS 10 120 HN",,,,,,,,,,,,,0,,,K0206109,
REDUCER 1/2''BSPx 1'',,,,,,,,,,,,,0,,,20492460,
BREATHER ASSEMBLY(00041138 0),,,,,,,,,,,,,0,,,A020201,
RINK PACKING 17x22x2,,,,,,,,,,,,,0,,,521860,
OIL DRAIN PIUG. 3/8'' BSP,,,,,,,,,,,,,0,,,A020033,
0' RING .OLI,,,,,,,,,,,,,0,,,526550 0,
OIL LEVEL INDICATOR .1 1/4'' BSP,,,,,,,,,,,,,0,,,513440,
BEARING 6307 TS 07,,,,,,,,,,,,,0,,,903352,
OIL SEAL B45x60x12.5,,,,,,,,,,,,,0,,,00042035 0,
"PISTON, DIA 100",,,,,,,,,,,,,0,,,02036183 0,
"GUDGEON PIN, DIA 20",,,,,,,,,,,,,0,,,00051419 0,
"RING SLOTTED OIL CONTROL, DIA 100",,,,,,,,,,,,,0,,,00041686 0,
"RING, STEPPED COMPRESSION, DIA 100",,,,,,,,,,,,,0,,,00041757 0,
"RING, TAPER PLAIN COMPRESSION, DIA 100",,,,,,,,,,,,,0,,,00041685 0,
"GASKET,C/CASE TO CYLINDER, 0.25",,,,,,,,,,,,,0,,,00041004 A,
"GASKET,C/CASE TO CYLINDER, 1mm",,,,,,,,,,,,,0,,,00041004 D,
"CYLINDER, DIA 100",,,,,,,,,,,,,0,,,00021010 D,
"GASKET,CYL.TO VALVE FLAT",,,,,,,,,,,,,0,,,00041156 A,
VALVE FIAT,,,,,,,,,,,,,0,,,00031007 0,
"GASKET, VALVE FIAT TO HEAD",,,,,,,,,,,,,0,,,00046210 A,
CENTRING BUSH,,,,,,,,,,,,,0,,,00042660 0,
"HEAD, DIA 100 CYL.",,,,,,,,,,,,,0,,,00021238 C,
"NIPPLE, PIPE 1 1/4'' BSP",,,,,,,,,,,,,0,,,00043217 A,
"CIRCLIP, B 18",,,,,,,,,,,,,0,,,917218,
"RING, PACKING",,,,,,,,,,,,,0,,,00052191 0,
"SAFETY VALVE ASSY, 1/4'' BSP",,,,,,,,,,,,,0,,,02037096 0,
AIR FILTER ASSY,,,,,,,,,,,,,0,,,A020024,
AFTER COOLER PIPE,,,,,,,,,,,,,0,,,02036565 0,
CONNECTING PIECE PSW,,,,,,,,,,,,,0,,,02049698 0,
PRESSURE PIPE LINE ASSY.NRV TO PSW,,,,,,,,,,,,,0,,,02049711 0,
RUBBER BEADING,,,,,,,,,,,,,0,,,00043233 0,
CONNECTOR ASSY,,,,,,,,,,,,,0,,,02049620 0,
